word,positive,negative,neutral,total_count
the,5101.0,827.0,9707.0,15635.0
to,3498.0,489.0,6078.0,10065.0
and,3275.0,513.0,5200.0,8988.0
of,2293.0,370.0,4177.0,6840.0
is,2006.0,300.0,3792.0,6098.0
in,1928.0,300.0,3535.0,5763.0
on,1535.0,218.0,2669.0,4422.0
for,1453.0,222.0,2591.0,4266.0
it,1399.0,233.0,2590.0,4222.0
that,1256.0,189.0,2287.0,3732.0
you,949.0,111.0,2173.0,3233.0
this,985.0,149.0,1965.0,3099.0
with,889.0,112.0,1566.0,2567.0
we,923.0,133.0,1468.0,2524.0
are,708.0,151.0,1524.0,2383.0
be,677.0,114.0,1111.0,1902.0
as,626.0,103.0,1034.0,1763.0
from,583.0,87.0,1035.0,1705.0
but,580.0,104.0,1008.0,1692.0
not,517.0,83.0,1056.0,1656.0
at,530.0,75.0,974.0,1579.0
will,567.0,84.0,863.0,1514.0
have,475.0,67.0,931.0,1473.0
can,506.0,68.0,865.0,1439.0
by,596.0,58.0,785.0,1439.0
more,467.0,67.0,883.0,1417.0
they,431.0,66.0,911.0,1408.0
crypto,410.0,83.0,810.0,1303.0
what,374.0,77.0,826.0,1277.0
if,376.0,85.0,764.0,1225.0
or,396.0,62.0,767.0,1225.0
all,448.0,44.0,718.0,1210.0
was,380.0,62.0,766.0,1208.0
just,372.0,59.0,770.0,1201.0
has,417.0,64.0,614.0,1095.0
an,334.0,68.0,679.0,1081.0
so,334.0,43.0,620.0,997.0
now,339.0,47.0,605.0,991.0
bitcoin,238.0,77.0,650.0,965.0
like,277.0,40.0,630.0,947.0
market,290.0,96.0,553.0,939.0
new,333.0,33.0,566.0,932.0
about,253.0,56.0,622.0,931.0
your,317.0,42.0,566.0,925.0
my,280.0,46.0,582.0,908.0
one,288.0,42.0,577.0,907.0
up,626.0,0.0,259.0,885.0
com,180.0,45.0,656.0,881.0
get,358.0,23.0,496.0,877.0
people,265.0,50.0,546.0,861.0
our,307.0,39.0,505.0,851.0
their,284.0,34.0,529.0,847.0
time,309.0,43.0,480.0,832.0
ai,300.0,52.0,455.0,807.0
how,243.0,72.0,489.0,804.0
out,258.0,41.0,474.0,773.0
no,221.0,30.0,521.0,772.0
do,238.0,37.0,488.0,763.0
there,240.0,41.0,476.0,757.0
ournetwork,263.0,14.0,403.0,680.0
into,222.0,26.0,425.0,673.0
when,208.0,33.0,429.0,670.0
here,205.0,27.0,421.0,653.0
than,193.0,47.0,412.0,652.0
most,212.0,33.0,405.0,650.0
he,204.0,23.0,416.0,643.0
btc,218.0,28.0,396.0,642.0
over,225.0,41.0,364.0,630.0
us,202.0,36.0,376.0,614.0
been,204.0,34.0,370.0,608.0
xyz,225.0,12.0,342.0,579.0
why,174.0,47.0,355.0,576.0
don,178.0,28.0,364.0,570.0
only,203.0,24.0,341.0,568.0
me,155.0,27.0,383.0,565.0
first,186.0,24.0,354.0,564.0
