post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2024-11-15 00:00:00+00:00,0.2,0.08,4,2,0,2
2024-11-16 00:00:00+00:00,0.14285714285714285,0.06417582417582418,14,4,0,10
2024-11-17 00:00:00+00:00,0.06666666666666667,0.06787878787878787,12,2,0,10
2024-11-18 00:00:00+00:00,0.0,0.0,5,0,0,5
2024-11-19 00:00:00+00:00,0.05217391304347827,0.008063241106719366,21,6,0,17
2024-11-20 00:00:00+00:00,0.0125,0.01316666666666667,16,5,0,11
2024-11-21 00:00:00+00:00,0.0,0.020000000000000004,8,2,2,5
2024-11-22 00:00:00+00:00,-0.04,0.008,5,0,0,5
2024-11-23 00:00:00+00:00,0.0,0.0,2,0,0,2
2024-11-24 00:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-25 00:00:00+00:00,0.1,0.020000000000000004,2,1,0,1
2024-11-26 00:00:00+00:00,0.16923076923076924,0.06564102564102564,13,5,0,8
2024-11-27 00:00:00+00:00,0.1142857142857143,0.06476190476190476,7,3,0,4
2024-11-28 00:00:00+00:00,0.0,0.0,7,0,0,8
2024-11-29 00:00:00+00:00,0.0,0.0,5,0,0,6
2024-11-30 00:00:00+00:00,0.0,0.0,2,0,0,2
2024-12-01 00:00:00+00:00,-0.028571428571428574,0.005714285714285714,7,1,0,6
2024-12-02 00:00:00+00:00,0.08571428571428573,0.011428571428571432,7,3,0,4
2024-12-03 00:00:00+00:00,0.125,0.045000000000000005,7,3,0,5
2024-12-04 00:00:00+00:00,0.058823529411764705,0.028823529411764706,17,4,0,13
2024-12-05 00:00:00+00:00,0.12631578947368421,0.04982456140350877,17,5,0,14
2024-12-06 00:00:00+00:00,0.06666666666666668,0.020000000000000004,9,2,1,6
2024-12-07 00:00:00+00:00,0.19999999999999998,0.096,6,3,0,3
2024-12-08 00:00:00+00:00,-0.08,0.012000000000000004,5,0,2,3
2024-12-09 00:00:00+00:00,0.2,0.0,2,2,0,0
2024-12-10 00:00:00+00:00,0.0875,0.03183333333333334,16,6,0,10
2024-12-11 00:00:00+00:00,0.2,0.07999999999999999,10,3,0,7
2024-12-12 00:00:00+00:00,0.2222222222222222,0.05444444444444444,9,5,0,4
2024-12-13 00:00:00+00:00,0.2285714285714286,0.07238095238095238,7,3,0,4
2024-12-14 00:00:00+00:00,0.16666666666666666,0.05466666666666666,6,3,0,3
2024-12-15 00:00:00+00:00,0.04,0.008000000000000002,5,1,0,4
2024-12-16 00:00:00+00:00,0.0,0.0,5,0,0,5
2024-12-17 00:00:00+00:00,0.1125,0.0425,16,6,0,10
