timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-10-20 22:00:00,26,CRITICAL,텔레그램 메시지 급증 (z=2.48); 고래 거래 급증 (z=4.69); 트위터 인플루언서 활동 급증 (z=2.87); ⚠️ 텔레그램+고래 동시 급증; ⚠️ 트위터+고래 동시 급증; 🚨 3개 소스 모두 급증 (CRITICAL),7.0,1726.0,23756.0,-0.02590833333333334,0.03333333333333333
2025-01-01 17:00:00,26,CRITICAL,텔레그램 메시지 급증 (z=2.40); 고래 거래 급증 (z=2.02); 트위터 인플루언서 활동 급증 (z=3.47); ⚠️ 텔레그램+고래 동시 급증; ⚠️ 트위터+고래 동시 급증; 🚨 3개 소스 모두 급증 (CRITICAL),4.0,9.0,11204.0,0.2230833333333333,0.2
2025-10-31 01:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=3.81); 고래 거래 급증 (z=3.69); ⚠️ 텔레그램+고래 동시 급증,13.0,639.0,8754.0,0.2847153846153846,0.025
2025-10-19 22:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.26); 고래 거래 급증 (z=4.68); ⚠️ 텔레그램+고래 동시 급증,5.0,701.0,23.0,0.2169625,0.2
2025-10-15 22:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.13); 고래 거래 급증 (z=3.76); ⚠️ 텔레그램+고래 동시 급증,18.0,122.0,8739.0,0.3371111111111111,0.2
2025-09-25 07:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.11); 고래 거래 급증 (z=2.67); ⚠️ 텔레그램+고래 동시 급증,6.0,111.0,0.0,0.2533166666666667,0.0
2025-09-15 16:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.61); 고래 거래 급증 (z=2.68); ⚠️ 텔레그램+고래 동시 급증,6.0,31.0,526.0,0.08305,0.1142857142857143
2025-09-07 10:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=4.19); 고래 거래 급증 (z=4.64); ⚠️ 텔레그램+고래 동시 급증,9.0,105.0,0.0,0.321925,0.0
2025-08-25 03:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.73); 고래 거래 급증 (z=3.09); ⚠️ 텔레그램+고래 동시 급증,4.0,65.0,0.0,0.0583,0.0
2025-08-11 18:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.31); 고래 거래 급증 (z=2.03); ⚠️ 텔레그램+고래 동시 급증,10.0,23.0,1.0,0.09242916666666666,0.0
2025-08-08 00:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=3.57); 고래 거래 급증 (z=4.37); ⚠️ 텔레그램+고래 동시 급증,14.0,53.0,0.0,0.09060416666666665,0.0
2025-08-02 11:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.17); 고래 거래 급증 (z=4.00); ⚠️ 텔레그램+고래 동시 급증,7.0,40.0,0.0,-0.1000666666666667,0.0
