,telegram_message_count,telegram_avg_views,telegram_total_forwards,telegram_total_reactions,telegram_avg_sentiment,telegram_avg_positive,telegram_avg_negative,telegram_avg_neutral,telegram_avg_msg_length,whale_tx_count,whale_volume_sum,whale_volume_mean,whale_volume_max,whale_volume_std,twitter_post_count,twitter_likes,twitter_shares,twitter_comments,twitter_engagement,twitter_sentiment,twitter_coin_mentions,telegram_message_count_zscore,whale_tx_count_zscore,twitter_engagement_zscore
telegram_message_count,1.0,0.4863066889129355,0.12806028245228768,0.6726310988871532,0.21458464940617336,0.49564657128224443,0.41079797504296756,0.738195301076763,0.48755927353195516,0.1010283219704001,0.009163530906768151,-0.0032642372040853065,0.006622516977613814,0.008511199902303456,0.2905287745107219,0.08874401696915177,0.09834407286570288,0.09812958425764165,0.09680138306830355,0.17851202339629246,0.18699451507393935,0.6015330547563745,0.011936206161026293,0.037809385572315085
telegram_avg_views,0.4863066889129355,1.0,0.11730774565743289,0.6825084052027119,0.20148481578309427,0.45443953297953016,0.398778605309176,0.752785941557895,0.5265185408123809,0.08837155042698852,0.01187038250588876,-0.002913979958424755,0.009127263495959157,0.011497436538145082,0.22001989367566574,0.0742454603258973,0.07586937971697084,0.07941227249705492,0.07911443192705084,0.16836518896150116,0.14933529394055753,0.07086861088075484,0.005313071264984738,0.011435273032692718
telegram_total_forwards,0.12806028245228768,0.11730774565743289,1.0,0.1684713548240914,0.02887470405233437,0.0725510655289994,0.06852003849359674,0.12910296485785103,0.08194171974890875,0.015993474327302942,0.0020726875789918125,-0.00047513786311104557,0.0016043492782018085,0.0021298046451504677,0.04706954998715805,0.013787723027379373,0.014458043416885282,0.015047758221695077,0.014817443736970127,0.029418383855962196,0.02956659753873461,0.07729576898100227,0.0008235330408779415,0.001176850569785489
telegram_total_reactions,0.6726310988871532,0.6825084052027119,0.1684713548240914,1.0,0.20258269322172204,0.49627448836136473,0.444057589993639,0.7528242845635696,0.4980397998299505,0.09265087277280934,0.010224370071119843,-0.00292109574312914,0.007650615165397615,0.010708804461293905,0.26463668875356217,0.07832037647920911,0.08212321184073944,0.08683664281637535,0.08433411945879507,0.19267215919869957,0.17391685087535297,0.3248883979882809,0.010884326956102983,0.0506633712551006
telegram_avg_sentiment,0.21458464940617336,0.20148481578309427,0.02887470405233437,0.20258269322172204,1.0,0.6450267786092526,-0.299091737388882,0.2653525842403547,0.2862890223293535,0.04228664841395293,0.0036717710763485016,-0.0015491856620133142,0.003352603721155284,0.0032898461334751427,0.10049857585938003,0.028950943496846022,0.02909542116805125,0.027697011144114263,0.030333207755298082,0.08180591475360863,0.07162977988685824,0.05187124316430098,0.0007703153161732298,0.024089067773325045
telegram_avg_positive,0.49564657128224443,0.45443953297953016,0.0725510655289994,0.49627448836136473,0.6450267786092526,1.0,0.3128928052077134,0.5857904648776281,0.4758452619046669,0.1016074869966043,0.008303671596399052,-0.0028227337848991977,0.006320301373902899,0.0076882362123598625,0.21591939235574037,0.06774261591966857,0.06974412942440636,0.07359122842497781,0.07244873814155811,0.17109882148330252,0.14590516054445926,0.1343295440970144,0.006442999534201004,0.023902882494932127
telegram_avg_negative,0.41079797504296756,0.398778605309176,0.06852003849359674,0.444057589993639,-0.299091737388882,0.3128928052077134,1.0,0.5095081247178027,0.40760660392931564,0.07818907393892185,0.009082303418288471,-0.001962609350436064,0.006640683684017299,0.007858794832937973,0.18233188382672502,0.05423103393256645,0.057520404113055326,0.06102155892421885,0.058662233143357424,0.1322478187740398,0.10931708942706356,0.10808450298955989,0.008615980529559458,0.0024980474161604405
telegram_avg_neutral,0.738195301076763,0.752785941557895,0.12910296485785103,0.7528242845635696,0.2653525842403547,0.5857904648776281,0.5095081247178027,1.0,0.6779262140205038,0.12947813614657325,0.01402941927390884,-0.004042646207975216,0.010660216876347937,0.014046063143160028,0.3283632446244573,0.10384503097121751,0.10759750608588567,0.11452191888264808,0.11143280458419438,0.2263084734712947,0.21474656560446084,0.19947939207725668,0.007253960195557921,0.022816234970934494
telegram_avg_msg_length,0.48755927353195516,0.5265185408123809,0.08194171974890875,0.4980397998299505,0.2862890223293535,0.4758452619046669,0.40760660392931564,0.6779262140205038,1.0,0.09925491823455133,0.01106784984190293,-0.002876111805718479,0.008081216710411386,0.009215681497379634,0.25267227201275977,0.08099867895392547,0.08799404018925264,0.08489793674288414,0.08735790676266729,0.1590093251516855,0.15819464602520403,0.08564140861319357,0.007779758092430511,0.01884425196579798
whale_tx_count,0.1010283219704001,0.08837155042698852,0.015993474327302942,0.09265087277280934,0.04228664841395293,0.1016074869966043,0.07818907393892185,0.12947813614657325,0.09925491823455133,1.0,0.011364227929994319,-0.0005587493447819912,0.006841577033682924,0.0030825523402987567,0.16660589894015676,0.04426691913628626,0.04755587797302114,0.044807118050950945,0.04741963127696828,0.05997585607341564,0.07333991697232813,7.949743728404506e-05,0.0924058309138503,-0.0055714869333787975
whale_volume_sum,0.009163530906768151,0.01187038250588876,0.0020726875789918125,0.010224370071119843,0.0036717710763485016,0.008303671596399052,0.009082303418288471,0.01402941927390884,0.01106784984190293,0.011364227929994319,1.0,0.8847043642134018,0.9980955863344874,0.5741727894966729,0.014069692693986221,0.0024828233690821085,0.0024686115314805353,0.00338588507589335,0.0027181625098125165,0.004170876075085438,0.009983903516981352,-0.004774337115806458,0.05099478412198228,-0.00458966873761188
