lag_hours,correlation,p_value
0,0.10102832197040029,3.879572836044062e-204
1,0.10060447462701243,1.9560274667837266e-202
2,0.10167424328517112,9.727654680279905e-207
3,0.10041693188252393,1.1112938102910782e-201
4,0.10122723587140606,6.269487197899944e-205
5,0.09985405503828526,1.9620856240617405e-199
6,0.10380645023780001,1.8938135568958529e-215
7,0.10091307418232738,1.1679596930534747e-203
8,0.10303417262102121,2.89420379282148e-212
9,0.10557913535886446,7.847087973486336e-223
10,0.10211372298906762,1.6748837517849196e-208
11,0.10694835596717304,1.2720338796407785e-228
12,0.1029274996728944,8.092108394025147e-212
13,0.1036889955481439,6.010626948575753e-215
14,0.10434155073527267,1.199789620523155e-217
15,0.10124235668184461,5.767041398800129e-205
16,0.10486261059268794,8.20049250709741e-220
17,0.09908948939281301,2.2075615914072287e-196
18,0.10326343252248242,3.4953559805873925e-213
19,0.09910842805015763,1.8774065132483387e-196
20,0.10251039141778563,4.282808009901666e-210
21,0.10093668352160262,1.0087445518920162e-203
22,0.0965040942480219,2.5595710525905752e-186
23,0.09776102274318965,3.600335804199973e-191
