lag_hours,correlation,p_value
0,0.047419631276968355,2.8717157715272343e-46
1,0.051242310413496264,9.715075710904124e-54
2,0.05230176383618772,6.535947122758373e-56
3,0.05473191951748934,4.620115659228081e-61
4,0.05411246265200374,1.0012509259612798e-59
5,0.06065458759889372,1.3577947137986184e-74
6,0.05653746710339965,4.877931858934919e-65
7,0.058361368204698005,3.4603669985631847e-69
8,0.053278708402506876,5.973346672253602e-58
9,0.05220447069501901,1.0491796550722954e-55
10,0.05572068428724799,3.211008434135492e-63
11,0.05794685124750723,3.1386898179818637e-68
12,0.05604666087684762,6.117442890762609e-64
13,0.05807145515836739,1.6291712902349343e-68
14,0.05775294847681301,8.773300274576007e-68
15,0.05818698963232279,8.86099594994143e-69
16,0.05598135560702275,8.59352508470204e-64
17,0.05536383691683887,1.9781907313529597e-62
18,0.053216945801775106,8.178151387135827e-58
19,0.05462491357376094,8.068843448869453e-61
20,0.0484505140256146,3.238579264148897e-48
21,0.046629889337430744,8.705538536819962e-45
22,0.04229229274885229,3.832795916002747e-37
23,0.04133309269562141,1.493341069480193e-35
