lag_hours,correlation,p_value
-24,-0.0034522419687887463,0.7580115947349161
-23,-0.008782523551689923,0.43312680011478444
-22,0.00025463878597109773,0.9818673609711659
-21,-0.004493556558635101,0.6883459710104357
-20,-0.005310233352298439,0.6354791922972526
-19,-0.006469150475040694,0.5635879570421536
-18,-0.004882160722890097,0.6629307134762916
-17,-0.006522548510684768,0.5603238345730697
-16,-0.0062820336289790306,0.5748512995899491
-15,-0.014110115584344475,0.2076629314514095
-14,-0.008678370349303962,0.43834347013529573
-13,0.0002180091733109869,0.9844666059949916
-12,-0.017334133178759596,0.12156224340212768
-11,0.00022628614849119885,0.9838749200087825
-10,-0.0037445854494662528,0.7380198566864818
-9,-0.0024718504160750818,0.8252435632673669
-8,-0.00563988313031455,0.6143771051049968
-7,-0.004270783236132065,0.7027949745056846
-6,-0.007374012248176269,0.5099992351511979
-5,-0.006178382255743709,0.5809165615372037
-4,-0.00716083782958059,0.5222556629267477
-3,-0.0001337651824959758,0.9904627346715305
-2,0.0023227107257440312,0.835561231987874
-1,-0.01205862782202708,0.2811441369012172
0,0.005791529952959459,0.6047080204273179
1,-0.0009682702886005082,0.9310351899381729
2,-0.00019710269335858525,0.9859446138592266
3,0.0030665626232269224,0.7840191986063008
4,-0.0044196607865593695,0.6928250438229
5,-0.00031370058292179903,0.977631795795312
6,-0.0032764617816959498,0.7696400741345262
7,0.0008003421790462772,0.942973305223917
8,-0.011459309807846709,0.30571791285675165
9,-0.002815203129445205,0.8013356673357933
10,-0.00401620547292829,0.7196223922154511
11,1.5068310950944796e-05,0.9989254240308428
12,-0.005202185917390329,0.641955628012951
13,-0.01168172284064461,0.2964255131630637
14,-0.0043708805214335705,0.696045454460715
15,-0.014821458439609888,0.18524043505657992
16,-0.004957670295570761,0.6576851549713446
17,0.0007348831815020371,0.9476304472489813
18,0.0006527764534789335,0.9534745189868614
19,0.0009186214036019368,0.9345632672611065
20,0.001519137256829424,0.8919966651840388
21,0.004390940052304716,0.6947204824829717
22,-0.002243231741173226,0.8410921100521994
23,0.006284335934748315,0.5743275936027388
24,-0.010257117490259537,0.3592532399780221
