timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-29 23:35:36+00:00,@cointelegraph,65846,4343,34,55,0.296,0.109,0.0,0.891,124
2025-11-29 20:13:22+00:00,@cointelegraph,65845,6977,44,54,-0.128,0.117,0.147,0.736,74
2025-11-29 18:43:20+00:00,@cointelegraph,65844,7794,40,0,0.0,0.0,0.0,1.0,0
2025-11-29 18:43:19+00:00,@cointelegraph,65843,7843,41,61,0.296,0.164,0.109,0.727,98
2025-11-29 17:29:02+00:00,@cointelegraph,65842,7926,20,18,-0.128,0.04,0.051,0.909,252
2025-11-29 16:37:01+00:00,@cointelegraph,65841,8314,30,39,-0.3182,0.0,0.108,0.892,106
2025-11-29 14:41:30+00:00,@cointelegraph,65840,9600,63,0,0.0,0.0,0.0,1.0,0
2025-11-29 14:41:29+00:00,@cointelegraph,65839,9733,62,112,0.0601,0.149,0.138,0.713,75
2025-11-29 12:42:52+00:00,@cointelegraph,65838,11180,37,0,0.0,0.0,0.0,1.0,0
2025-11-29 12:42:51+00:00,@cointelegraph,65837,11298,38,70,0.0,0.0,0.0,1.0,74
2025-11-29 11:28:37+00:00,@cointelegraph,65835,11310,75,194,-0.4588,0.094,0.192,0.714,121
2025-11-29 09:35:21+00:00,@cointelegraph,65834,11386,53,92,-0.8748,0.0,0.4,0.6,100
2025-11-29 08:31:24+00:00,@cointelegraph,65833,10876,50,51,0.0,0.0,0.0,1.0,90
2025-11-29 07:31:05+00:00,@cointelegraph,65832,10248,45,44,0.1613,0.174,0.138,0.688,80
2025-11-29 06:33:25+00:00,@cointelegraph,65831,9938,36,44,0.0,0.0,0.0,1.0,130
2025-11-29 05:48:45+00:00,@cointelegraph,65830,9896,52,98,0.3818,0.126,0.0,0.874,107
2025-11-29 04:30:07+00:00,@cointelegraph,65828,10369,72,74,-0.34,0.0,0.13,0.87,92
2025-11-28 21:55:49+00:00,@cointelegraph,65827,37636,303,0,0.0,0.0,0.0,1.0,0
