timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-29 05:01:10+00:00,@cryptosignals,6250,3576,12,9,0.4939,0.123,0.0,0.877,202
2025-11-28 15:04:25+00:00,@cryptosignals,6249,2181,4,20,0.2732,0.123,0.0,0.877,101
2025-11-28 10:36:45+00:00,@cryptosignals,6248,2379,2,21,-0.6486,0.0,0.223,0.777,98
2025-11-28 06:41:47+00:00,@cryptosignals,6247,2516,5,28,0.0,0.0,0.0,1.0,55
2025-11-28 06:39:11+00:00,@cryptosignals,6246,2462,4,11,0.0,0.0,0.0,1.0,87
2025-11-28 06:29:12+00:00,@cryptosignals,6245,2382,3,18,0.3016,0.234,0.192,0.574,134
2025-11-28 03:02:40+00:00,@cryptosignals,6244,2372,10,13,0.0,0.0,0.0,1.0,89
2025-11-28 02:55:41+00:00,@cryptosignals,6243,2306,7,21,-0.4019,0.103,0.169,0.728,126
2025-11-28 02:43:42+00:00,@cryptosignals,6242,4707,6,0,0.4215,0.583,0.0,0.417,100
2025-11-27 16:56:58+00:00,@cryptosignals,6239,2403,5,19,0.0,0.0,0.0,1.0,77
2025-11-27 07:19:07+00:00,@cryptosignals,6238,2686,8,21,0.2023,0.091,0.0,0.909,114
2025-11-27 07:16:41+00:00,@cryptosignals,6237,2633,8,13,0.4404,0.121,0.0,0.879,132
2025-11-26 18:14:32+00:00,@cryptosignals,6236,2858,1,17,0.0,0.0,0.0,1.0,51
2025-11-26 02:22:19+00:00,@cryptosignals,6235,2989,3,8,0.7003,0.392,0.0,0.608,67
2025-11-25 05:54:03+00:00,@cryptosignals,6234,3673,14,43,0.3291,0.057,0.0,0.943,210
2025-11-24 19:24:55+00:00,@cryptosignals,6233,3431,1,11,0.0,0.0,0.0,1.0,166
2025-11-24 19:19:38+00:00,@cryptosignals,6232,3506,3,11,0.4404,0.367,0.0,0.633,38
2025-11-23 17:23:15+00:00,@cryptosignals,6231,5392,12,77,0.0,0.0,0.0,1.0,43
2025-11-21 14:42:26+00:00,@cryptosignals,6230,5419,12,59,-0.4939,0.0,0.615,0.385,12
2025-11-21 14:36:46+00:00,@cryptosignals,6229,8254,19,54,0.1779,0.083,0.07,0.847,270
2025-11-21 12:34:01+00:00,@cryptosignals,6228,7081,35,49,0.7699,0.237,0.109,0.654,268
2025-11-21 10:04:27+00:00,@cryptosignals,6227,4762,26,46,0.0,0.0,0.0,1.0,54
2025-11-21 07:34:37+00:00,@cryptosignals,6226,6456,12,21,0.0,0.0,0.0,1.0,65
2025-11-21 02:44:01+00:00,@cryptosignals,6224,4816,10,28,0.0,0.0,0.0,1.0,4
2025-11-21 02:40:53+00:00,@cryptosignals,6223,4780,15,28,0.0,0.0,0.0,1.0,90
2025-11-20 15:45:06+00:00,@cryptosignals,6222,6654,3,8,0.0,0.0,0.0,1.0,81
2025-11-20 13:05:45+00:00,@cryptosignals,6221,4186,6,12,0.0,0.0,0.0,1.0,71
2025-11-20 11:40:43+00:00,@cryptosignals,6220,3601,5,34,0.368,0.092,0.0,0.908,140
2025-11-20 10:36:34+00:00,@cryptosignals,6219,6524,12,38,0.9214,0.209,0.089,0.703,495
2025-11-20 09:03:15+00:00,@cryptosignals,6218,4770,1,4,0.0,0.0,0.0,1.0,0
2025-11-20 08:24:44+00:00,@cryptosignals,6217,3517,1,0,0.0,0.0,0.0,1.0,65
2025-11-20 07:56:27+00:00,@cryptosignals,6216,2751,1,2,0.0,0.0,0.0,1.0,22
2025-11-20 07:56:27+00:00,@cryptosignals,6215,2793,4,5,0.0,0.0,0.0,1.0,167
2025-11-19 04:31:33+00:00,@cryptosignals,6214,5129,13,61,0.4404,0.162,0.0,0.838,82
2025-11-19 02:20:51+00:00,@cryptosignals,6212,3320,1,26,0.0,0.0,0.0,1.0,8
2025-11-18 19:15:57+00:00,@cryptosignals,6210,3590,5,35,-0.1027,0.0,0.113,0.887,70
2025-11-18 16:34:56+00:00,@cryptosignals,6209,3549,6,38,0.0,0.0,0.0,1.0,44
2025-11-18 16:01:45+00:00,@cryptosignals,6208,5135,7,31,0.25,0.134,0.081,0.785,176
2025-11-18 15:56:23+00:00,@cryptosignals,6207,3392,21,60,-0.2144,0.0,0.069,0.931,154
2025-11-18 14:27:00+00:00,@cryptosignals,6206,8812,10,16,0.0,0.0,0.0,1.0,110
2025-11-18 08:15:00+00:00,@cryptosignals,6205,5621,34,52,0.0,0.0,0.0,1.0,29
2025-11-18 08:06:44+00:00,@cryptosignals,6203,5067,8,4,0.0,0.0,0.0,1.0,101
2025-11-18 08:00:23+00:00,@cryptosignals,6201,3208,10,9,0.0,0.0,0.0,1.0,30
2025-11-18 07:52:21+00:00,@cryptosignals,6200,3114,8,8,0.4019,0.252,0.0,0.748,58
2025-11-18 07:40:34+00:00,@cryptosignals,6199,3079,6,6,0.0,0.0,0.0,1.0,31
2025-11-18 07:35:49+00:00,@cryptosignals,6198,2961,10,9,0.0,0.0,0.0,1.0,31
