id,chain_type,address,name_tag,balance,percentage,txn_count
BSC001,BSC,0xff3f428583c15a5681584e9e5e86e270418ac4d3,BNB,"29,888,000.15537403 BNB",19.87%,101
BSC002,BSC,0x0000000000000000000000000000000000001004,BNB,"25,990,975.56197246 BNB",--,"5,613,319"
BSC003,BSC,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,BNB,"17,195,730.35988323 BNB",11.43%,837
BSC004,BSC,0x000000000000000000000000000000000000dead,BNB,"11,920,367.07424896 BNB",7.92%,"25,421"
BSC005,BSC,0xd37c9b07304c6e3396a81a176c9e3b45a9aa07ca,BNB,"11,666,888.05143973 BNB",7.76%,44
BSC006,BSC,0xf977814e90da44bfa03b6295a0616a897441acec,BNB,"10,339,459.57033024 BNB",6.87%,"11,732"
BSC007,BSC,0x771f4c697b35677b107f9ddc9cea0c2976a9a23e,BNB,"8,000,555.98879377 BNB",5.32%,42
BSC008,BSC,0x9ef34a9e740a74385c07e3030bebba2d562c7872,BNB,"7,999,999.991897 BNB",5.32%,38
BSC009,BSC,0x5c0d693b30d5e494421d0589729a26ab86ed1948,BNB,"6,888,887.99189726 BNB",4.58%,41
BSC010,BSC,0x98adef6f2ac8572ec48965509d69a8dd5e8bba9d,BNB,"3,039,788.25549106 BNB",2.02%,"3,390"
BSC011,BSC,0x835678a611b28684005a5e2233695fb6cbbb0007,BNB,"2,149,153.32226684 BNB",1.43%,534
BSC012,BSC,0x00389542170d59184dc056f942b3a8234d5318c9,BNB,"1,811,027.60703283 BNB",1.20%,106
BSC013,BSC,0xc437593d9c296bf9a5002522a86dad8a4d4af808,BNB,"1,435,820.32159562 BNB",0.95%,38
BSC014,BSC,0x30e0be360d1e7c6dd3f7c54e2f098b9cab1a9227,BNB,"1,367,211.46039996 BNB",0.91%,35
BSC015,BSC,0xf1e586c740c2d7622ea4114a7ee0033fbfbc8563,BNB,"1,362,139.4236418 BNB",0.91%,34
BSC016,BSC,0x4afc633e7b6beb8e552ccddbe06cca3754991e9a,BNB,"1,255,277.15931265 BNB",0.83%,37
BSC017,BSC,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,BNB,"1,210,874.15675766 BNB",0.81%,"20,307,295"
BSC018,BSC,0xefbb75e446ec2d8493b3d4d91ac3118953f69b55,BNB,"1,191,808.57258583 BNB",0.79%,35
BSC019,BSC,0x2804ada1c219e50898e75b2bd052030580f4fbac,BNB,"1,159,956.54690229 BNB",0.77%,41
BSC020,BSC,0xbe7e6c64fbe05fcdac6d11e8cc83cdf5e1a32399,BNB,"1,159,104.30344341 BNB",0.77%,42
BSC021,BSC,0x857afcc43ba66cfab52ed8d92c01bda3072705d0,BNB,"1,103,939.15307904 BNB",0.73%,37
BSC022,BSC,0x57d6be3ba78e611e71e8de981309f85ee5cb67e4,BNB,"1,088,853.22099329 BNB",0.72%,36
BSC023,BSC,0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB,"1,020,095.20628425 BNB",0.68%,133
BSC024,BSC,0x487f2663c8e134eb98495249bba5c602a89ceaa7,BNB,"1,019,959.75983497 BNB",0.68%,37
BSC025,BSC,0x17592497267112e1d764ed49bb0c78f8073e9d7b,BNB,"1,015,930.40800962 BNB",0.68%,36
BSC026,BSC,0xec06cb25d9add4bdd67b61432163aff9028aa921,BNB,"983,705.82566777 BNB",0.65%,41
BSC027,BSC,0x2d09c57cb8eaf970deeaf30546ec4dc3781c63cf,BNB,"959,826.10873734 BNB",0.64%,36
BSC028,BSC,0xf378f76a9c334f9c337bd3aa1704278d7fd3f0e1,BNB,"903,683.68278415 BNB",0.60%,35
BSC029,BSC,0x5a52e96bacdabb82fd05763e25335261b270efcb,BNB,"899,999.99999842 BNB",0.60%,"4,634"
BSC030,BSC,0xb4c7b55664622ed960b3418e626d868a2151c470,BNB,"851,104.57861759 BNB",0.57%,37
BSC031,BSC,0x6cbeecb3a0591eaab5d4a6380f0bbbafb06859f2,BNB,"833,951.40941929 BNB",0.55%,35
BSC032,BSC,0xdb92739a910f9261b62ffcd536eeeac5df8461b4,BNB,"820,220.50245153 BNB",0.55%,34
BSC033,BSC,0x8e01cf1c95fe6699c06aac0a9f3e33297778d682,BNB,"791,365.74099404 BNB",0.53%,36
BSC034,BSC,0x6006a1d3e973f2e4e575fc006a56396ebefc8dbd,BNB,"787,869.48280192 BNB",0.52%,32
BSC035,BSC,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,BNB,"667,612.43959091 BNB",0.44%,"57,323,446"
BSC036,BSC,0xe48ff82faa5aab796bb7e1f2208cb43008462022,BNB,"627,460.87354586 BNB",0.42%,40
BSC037,BSC,0x831d7345efc4a0ad0056ec98d3a0fd35ae4790a8,BNB,"618,218.82829741 BNB",0.41%,35
BSC038,BSC,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,BNB,"564,756.83978438 BNB",0.38%,489
BSC039,BSC,0xbf83d18a46325acb7d8f40a462d23a92f467ed7a,BNB,"500,000.08703631 BNB",0.33%,116
BSC040,BSC,0x3890f2104045548ba7d933740a440405d58cc4b3,BNB,"323,120.08265897 BNB",0.21%,33
BSC041,BSC,0xf7c5625578bd28777a69d7b0bb3e3c2292bbd560,BNB,"300,068.40655274 BNB",0.20%,33
BSC042,BSC,0x557182239b7fac4da81323ca35e05c99e90b043e,BNB,"275,682.21452444 BNB",0.18%,32
BSC043,BSC,0x8370245e6b7ee1b3051fd6ceeb766a5443e46934,BNB,"251,967.70160448 BNB",0.17%,32
BSC044,BSC,0xd38ae55b29ec84d9633d166bae977fa4618bf621,BNB,"247,739.10740208 BNB",0.16%,30
BSC045,BSC,0x56306851238d7aee9fac8cdd6877e92f83d5924c,BNB,"241,517.72672448 BNB",0.16%,105
BSC046,BSC,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,BNB,"230,754.17916336 BNB",0.15%,43
BSC047,BSC,0x9c065e07da5f95e11c0baefdaac648dff6df4bfc,BNB,"230,354.52208224 BNB",0.15%,33
BSC048,BSC,0x7597e59607a1e91e5b4af6b63c3a0c5070445a52,BNB,"225,766.13653419 BNB",0.15%,32
BSC049,BSC,0x67492f474b06deab70bdd94cc7f66fef02ccd50c,BNB,"224,993.7280428 BNB",0.15%,71
BSC050,BSC,0x0dcd7180fa216ee32873a4672254f6355827fac0,BNB,"214,868.07382118 BNB",0.14%,30
BSC051,BSC,0x53aaf2d46a0baa1a36f2819c9c50427d89f81397,BNB,"203,993.95241686 BNB",0.14%,31
BSC052,BSC,0xd77c88b0f7adb2a014cf34c62c12046df1a4229e,BNB,"203,646.04296106 BNB",0.14%,0
